STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD,WESF,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/1/2000,,,0,0,0,40,54,26,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/2/2000,,,0.01,0,0,50,58,42,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/3/2000,,,0.61,0,0,40,43,36,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/4/2000,,,0,0.4,0,38,50,26,,0,,1,,,,,,,,1,,1,1,,1,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/5/2000,,,0,0.1,1,23,26,20,,0,,1,,,,,,,,,,1,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/6/2000,,,0,0,0,32,39,25,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/7/2000,,,0,0,0,28,35,20,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/8/2000,,,0,0,0,32,44,20,,0,,,,,,,,,,,,,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/9/2000,,,0.02,0,0,40,44,35,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/10/2000,,,0.12,0,0,43,48,37,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/11/2000,,,0,0,0,36,41,29,,0,,,,,,,,,,,,,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/12/2000,,,0.01,0,0,31,38,24,,0,,1,,,,,1,,,,,1,,,1,1,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/13/2000,,,0.02,0.4,0,22,30,13,,0,,1,,,,,1,,,,,1,,1,1,1,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/14/2000,,,0,0.1,0,19,28,10,,0,,1,,,,,,,,,,1,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/15/2000,,,0,0,0,31,39,23,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/16/2000,,,0,0,0,30,40,20,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/17/2000,,,0.06,1.5,0,18,24,11,,0,,1,,,,,,,,,,1,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/18/2000,,,0.01,0.4,2,22,26,18,,0,,1,,,,,,,,,,1,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/19/2000,,,0.23,3.6,2,17,27,6,,0,,1,,,,,,,,,,1,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/20/2000,,,0.01,0.4,6,13,25,0,,0.3,,1,,,,,,,,,,1,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/21/2000,,,0,0,6,1,9,-8,,0.3,,,,,,,,,,,,,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/22/2000,,,0.07,3.1,5,5,20,-10,,0.4,,1,,,,,,,,,,1,,,,,1,,,1
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/23/2000,,,0,0,8,16,29,3,,0.4,,1,,,,,,,,,,1,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/24/2000,,,0,0,8,2,12,-9,,0.4,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/25/2000,,,0,0.4,8,8,24,-9,,0.4,,1,,,,,,,,,,1,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/26/2000,,,0,0,7,5,16,-7,,0.3,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/27/2000,,,0,0,6,2,15,-11,,0.3,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1/28/2000,,,0,0,6,4,19,-11,,0.3,,,,,,,,,,,,,,,,,,,,
